date,open,high,low,close,volume,etf_name
2020-01-02,0.64,0.649,0.64,0.648,160678,纳指100ETF
2020-01-03,0.654,0.654,0.647,0.651,232830,纳指100ETF
2020-01-06,0.646,0.646,0.639,0.642,188451,纳指100ETF
2020-01-07,0.646,0.656,0.646,0.651,187465,纳指100ETF
2020-01-08,0.645,0.649,0.639,0.644,204366,纳指100ETF
2020-01-09,0.651,0.658,0.651,0.658,222010,纳指100ETF
2020-01-10,0.666,0.674,0.662,0.673,168845,纳指100ETF
2020-01-13,0.67,0.674,0.665,0.672,358640,纳指100ETF
2020-01-14,0.68,0.683,0.674,0.68,287784,纳指100ETF
2020-01-15,0.679,0.682,0.676,0.682,98738,纳指100ETF
2020-01-16,0.683,0.69,0.683,0.688,191947,纳指100ETF
2020-01-17,0.699,0.701,0.695,0.697,174746,纳指100ETF
2020-01-20,0.696,0.696,0.684,0.685,292527,纳指100ETF
2020-01-21,0.685,0.687,0.671,0.679,253272,纳指100ETF
2020-01-22,0.678,0.688,0.678,0.687,206149,纳指100ETF
2020-01-23,0.682,0.696,0.68,0.696,176190,纳指100ETF
2020-02-03,0.66,0.674,0.66,0.661,313604,纳指100ETF
2020-02-04,0.671,0.686,0.665,0.684,318943,纳指100ETF
2020-02-05,0.7,0.715,0.699,0.714,329216,纳指100ETF
2020-02-06,0.715,0.741,0.715,0.736,289807,纳指100ETF
2020-02-07,0.744,0.759,0.735,0.742,414313,纳指100ETF
2020-02-10,0.734,0.748,0.727,0.746,272719,纳指100ETF
2020-02-11,0.765,0.776,0.761,0.774,267133,纳指100ETF
2020-02-12,0.776,0.798,0.766,0.794,478231,纳指100ETF
2020-02-13,0.812,0.848,0.809,0.839,537741,纳指100ETF
2020-02-14,0.827,0.832,0.8,0.802,674229,纳指100ETF
2020-02-17,0.802,0.802,0.764,0.795,849553,纳指100ETF
2020-02-18,0.793,0.793,0.765,0.767,702317,纳指100ETF
2020-02-19,0.758,0.781,0.757,0.76,651040,纳指100ETF
2020-02-20,0.772,0.778,0.761,0.764,422583,纳指100ETF
2020-02-21,0.749,0.759,0.744,0.744,609269,纳指100ETF
2020-02-24,0.725,0.725,0.709,0.712,529951,纳指100ETF
2020-02-25,0.697,0.738,0.688,0.737,851487,纳指100ETF
2020-02-26,0.707,0.73,0.707,0.724,534376,纳指100ETF
2020-02-27,0.728,0.731,0.71,0.714,535805,纳指100ETF
2020-02-28,0.686,0.694,0.677,0.678,586615,纳指100ETF
2020-03-02,0.685,0.71,0.684,0.708,625286,纳指100ETF
2020-03-03,0.734,0.744,0.708,0.713,811496,纳指100ETF
2020-03-04,0.7,0.715,0.69,0.713,398707,纳指100ETF
2020-03-05,0.73,0.733,0.711,0.714,577007,纳指100ETF
2020-03-06,0.702,0.708,0.694,0.699,312562,纳指100ETF
2020-03-09,0.68,0.68,0.651,0.652,468302,纳指100ETF
2020-03-10,0.656,0.686,0.647,0.683,773687,纳指100ETF
2020-03-11,0.678,0.68,0.657,0.659,596499,纳指100ETF
2020-03-12,0.648,0.648,0.633,0.635,472834,纳指100ETF
2020-03-13,0.6,0.664,0.588,0.643,1178209,纳指100ETF
2020-03-16,0.628,0.643,0.601,0.603,604887,纳指100ETF
2020-03-17,0.62,0.636,0.6,0.616,990914,纳指100ETF
2020-03-18,0.62,0.63,0.598,0.6,811180,纳指100ETF
2020-03-19,0.61,0.613,0.596,0.612,487332,纳指100ETF
2020-03-20,0.619,0.634,0.615,0.632,733379,纳指100ETF
2020-03-23,0.602,0.627,0.6,0.604,538254,纳指100ETF
2020-03-24,0.621,0.637,0.619,0.636,935620,纳指100ETF
2020-03-25,0.664,0.666,0.651,0.66,781619,纳指100ETF
2020-03-26,0.653,0.653,0.643,0.644,491396,纳指100ETF
2020-03-27,0.655,0.658,0.63,0.632,635376,纳指100ETF
2020-03-30,0.613,0.627,0.611,0.619,497054,纳指100ETF
2020-03-31,0.63,0.632,0.619,0.62,389779,纳指100ETF
2020-04-01,0.614,0.621,0.612,0.613,291703,纳指100ETF
2020-04-02,0.61,0.625,0.61,0.625,319046,纳指100ETF
2020-04-03,0.623,0.623,0.613,0.615,318128,纳指100ETF
2020-04-07,0.638,0.641,0.631,0.635,416735,纳指100ETF
2020-04-08,0.632,0.637,0.63,0.631,243910,纳指100ETF
2020-04-09,0.638,0.639,0.633,0.634,270900,纳指100ETF
