,cpi,pmi,m2,interest_rate,vix,credit_spread
2020-01-31,5.4,50.0,10.0,3.0,20.0,1.5
2020-02-29,5.2,35.7,10.0,3.0,20.0,1.5
2020-03-31,4.3,52.0,10.0,3.0,20.0,1.5
2020-04-30,3.3,50.8,10.0,3.0,20.0,1.5
2020-05-31,2.4,50.6,10.0,3.0,20.0,1.5
2020-06-30,2.5,50.9,10.0,3.0,20.0,1.5
2020-07-31,2.7,51.1,10.0,3.0,20.0,1.5
2020-08-31,2.4,51.0,10.0,3.0,20.0,1.5
2020-09-30,1.7,51.5,10.0,3.0,20.0,1.5
2020-10-31,0.5,51.4,10.0,3.0,20.0,1.5
2020-11-30,-0.5,52.1,10.0,3.0,20.0,1.5
2020-12-31,0.2,51.9,10.0,3.0,20.0,1.5
2021-01-31,-0.3,51.3,10.0,3.0,20.0,1.5
2021-02-28,-0.2,50.6,10.0,3.0,20.0,1.5
2021-03-31,0.4,51.9,10.0,3.0,20.0,1.5
2021-04-30,0.9,51.1,10.0,3.0,20.0,1.5
2021-05-31,1.3,51.0,10.0,3.0,20.0,1.5
2021-06-30,1.1,50.9,10.0,3.0,20.0,1.5
2021-07-31,1.0,50.4,10.0,3.0,20.0,1.5
2021-08-31,0.8,50.1,10.0,3.0,20.0,1.5
2021-09-30,0.7,49.6,10.0,3.0,20.0,1.5
2021-10-31,1.5,49.2,10.0,3.0,20.0,1.5
2021-11-30,2.3,50.1,10.0,3.0,20.0,1.5
2021-12-31,1.5,50.3,10.0,3.0,20.0,1.5
2022-01-31,0.9,50.1,10.0,3.0,20.0,1.5
2022-02-28,0.9,50.2,10.0,3.0,20.0,1.5
2022-03-31,1.5,49.5,10.0,3.0,20.0,1.5
2022-04-30,2.1,47.4,10.0,3.0,20.0,1.5
2022-05-31,2.1,49.6,10.0,3.0,20.0,1.5
2022-06-30,2.5,50.2,10.0,3.0,20.0,1.5
2022-07-31,2.7,49.0,10.0,3.0,20.0,1.5
2022-08-31,2.5,49.4,10.0,3.0,20.0,1.5
2022-09-30,2.8,50.1,10.0,3.0,20.0,1.5
2022-10-31,2.1,49.2,10.0,3.0,20.0,1.5
2022-11-30,1.6,48.0,10.0,3.0,20.0,1.5
2022-12-31,1.8,47.0,10.0,3.0,20.0,1.5
2023-01-31,2.1,50.1,10.0,3.0,20.0,1.5
2023-02-28,1.0,52.6,10.0,3.0,20.0,1.5
2023-03-31,0.7,51.9,10.0,3.0,20.0,1.5
2023-04-30,0.1,49.2,10.0,3.0,20.0,1.5
2023-05-31,0.2,48.8,10.0,3.0,20.0,1.5
2023-06-30,0.0,49.0,10.0,3.0,20.0,1.5
2023-07-31,-0.3,49.3,10.0,3.0,20.0,1.5
2023-08-31,0.1,49.7,10.0,3.0,20.0,1.5
2023-09-30,0.0,50.2,10.0,3.0,20.0,1.5
2023-10-31,-0.2,49.5,10.0,3.0,20.0,1.5
2023-11-30,-0.5,49.4,10.0,3.0,20.0,1.5
2023-12-31,-0.3,49.0,10.0,3.0,20.0,1.5
2024-01-31,-0.8,49.2,10.0,3.0,20.0,1.5
2024-02-29,0.7,49.1,10.0,3.0,20.0,1.5
2024-03-31,0.1,50.8,10.0,3.0,20.0,1.5
2024-04-30,0.3,50.4,10.0,3.0,20.0,1.5
2024-05-31,0.3,49.5,10.0,3.0,20.0,1.5
2024-06-30,0.2,49.5,10.0,3.0,20.0,1.5
2024-07-31,0.5,49.4,10.0,3.0,20.0,1.5
2024-08-31,0.6,49.1,10.0,3.0,20.0,1.5
2024-09-30,0.4,49.8,10.0,3.0,20.0,1.5
2024-10-31,0.3,50.1,10.0,3.0,20.0,1.5
2024-11-30,0.2,50.3,10.0,3.0,20.0,1.5
2024-12-31,0.1,50.1,10.0,3.0,20.0,1.5
2025-01-31,0.5,49.1,10.0,3.0,20.0,1.5
2025-02-28,-0.7,50.2,10.0,3.0,20.0,1.5
2025-03-31,-0.1,50.5,10.0,3.0,20.0,1.5
2025-04-30,-0.1,49.0,10.0,3.0,20.0,1.5
2025-05-31,-0.1,49.5,10.0,3.0,20.0,1.5
2025-06-30,0.1,49.7,10.0,3.0,20.0,1.5
2025-07-31,0.0,49.3,10.0,3.0,20.0,1.5
2025-08-31,-0.4,49.4,10.0,3.0,20.0,1.5
2025-09-30,-0.3,49.8,10.0,3.0,20.0,1.5
2025-10-31,0.2,49.0,10.0,3.0,20.0,1.5
2025-11-30,0.7,49.2,10.0,3.0,20.0,1.5
2025-12-31,0.8,50.1,10.0,3.0,20.0,1.5
2026-01-31,0.2,49.3,10.0,3.0,20.0,1.5
2026-02-28,1.3,49.0,10.0,3.0,20.0,1.5
2026-03-31,1.0,50.4,10.0,3.0,20.0,1.5
2026-04-30,1.2,50.3,10.0,3.0,20.0,1.5
2026-05-31,1.2,50.0,10.0,3.0,20.0,1.5
2026-06-30,1.0,50.3,10.0,3.0,20.0,1.5
2026-07-31,0.5,49.2,10.0,3.0,20.0,1.5
