基金代码,基金名称,策略,策略ID,累计收益率(%),年化收益率(%),最大回撤(%),夏普比率,卡玛比率,转换次数,买入次数,止盈次数,胜率(%),超额收益(%),买入持有(%),回测天数,回测区间,综合评分,排名,评级
021400,广发中证红利ETF发起式联接C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
021400,广发中证红利ETF发起式联接C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
021400,广发中证红利ETF发起式联接C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
021093,广发中证港股通互联网ETF发起式联接C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
021093,广发中证港股通互联网ETF发起式联接C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
021093,广发中证港股通互联网ETF发起式联接C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
017513,广发北证50成份指数C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
017513,广发北证50成份指数C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
017513,广发北证50成份指数C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
022720,广发中证国新港股通央企红利ETF发起式联接C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
022720,广发中证国新港股通央企红利ETF发起式联接C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
022720,广发中证国新港股通央企红利ETF发起式联接C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
022005,广发恒生科技ETF联接(QDII)F,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
022005,广发恒生科技ETF联接(QDII)F,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
022005,广发恒生科技ETF联接(QDII)F,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
017476,广发集轩债券C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
017476,广发集轩债券C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
017476,广发集轩债券C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
019671,广发中证香港创新药ETF发起式联接(QDII)C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
019671,广发中证香港创新药ETF发起式联接(QDII)C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
019671,广发中证香港创新药ETF发起式联接(QDII)C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
