date,cash,position_value,total_value,positions,return,equity,drawdown
2024-12-02,909598.794520548,90456.0,1000054.794520548,"{'021400': {'shares': 80000.0, 'price': 1.1307, 'value': 90456.0, 'profit_pct': 0.0}}",,1.000054794520548,0.0
2024-12-03,909648.6355503848,91328.0,1000976.6355503848,"{'021400': {'shares': 80000.0, 'price': 1.1416, 'value': 91328.0, 'profit_pct': 0.9640045989210144}}",0.0009217905207672406,1.0009766355503849,0.0
2024-12-04,966868.4793112369,34302.0,1001170.4793112369,"{'021400': {'shares': 30000.0, 'price': 1.1434, 'value': 34302.0, 'profit_pct': 1.1231980189263229}}",0.00019365463085518897,1.0011704793112368,0.0
2024-12-05,966921.4584059938,34248.0,1001169.4584059938,"{'021400': {'shares': 30000.0, 'price': 1.1416, 'value': 34248.0, 'profit_pct': 0.9640045989210144}}",-1.0197116916410565e-06,1.0011694584059938,-0.00010197116916410565
2024-12-06,1001651.4404037147,0.0,1001651.4404037147,{},0.0004814189982265127,1.0016514404037147,0.0
2024-12-09,1001706.3254141478,0.0,1001706.3254141478,{},5.4794520548018255e-05,1.0017063254141478,0.0
2024-12-10,1001761.2134319788,0.0,1001761.2134319788,{},5.4794520548018255e-05,1.0017612134319789,0.0
2024-12-11,1001816.1044573725,0.0,1001816.1044573725,{},5.4794520548018255e-05,1.0018161044573723,0.0
2024-12-12,1001870.9984904935,0.0,1001870.9984904935,{},5.4794520548018255e-05,1.0018709984904934,0.0
2024-12-13,1001925.8955315067,0.0,1001925.8955315067,{},5.4794520548018255e-05,1.0019258955315067,0.0
2024-12-16,1001980.795580577,0.0,1001980.795580577,{},5.4794520548018255e-05,1.001980795580577,0.0
2024-12-17,1002035.6986378691,0.0,1002035.6986378691,{},5.4794520548018255e-05,1.0020356986378691,0.0
2024-12-18,1002090.6047035479,0.0,1002090.6047035479,{},5.4794520548018255e-05,1.0020906047035478,0.0
2024-12-19,1002145.5137777783,0.0,1002145.5137777783,{},5.4794520548018255e-05,1.0021455137777782,0.0
2024-12-20,1002200.425860725,0.0,1002200.425860725,{},5.4794520548018255e-05,1.0022004258607249,0.0
2024-12-23,1002255.3409525531,0.0,1002255.3409525531,{},5.4794520548018255e-05,1.0022553409525532,0.0
2024-12-24,1002310.2590534273,0.0,1002310.2590534273,{},5.4794520548018255e-05,1.0023102590534272,0.0
2024-12-25,1002365.1801635125,0.0,1002365.1801635125,{},5.4794520548018255e-05,1.0023651801635125,0.0
2024-12-26,1002420.1042829736,0.0,1002420.1042829736,{},5.4794520548018255e-05,1.0024201042829735,0.0
2024-12-27,1002475.0314119754,0.0,1002475.0314119754,{},5.4794520548018255e-05,1.0024750314119755,0.0
2024-12-30,1002529.961550683,0.0,1002529.961550683,{},5.4794520548018255e-05,1.002529961550683,0.0
2024-12-31,1002584.8946992612,0.0,1002584.8946992612,{},5.4794520548018255e-05,1.0025848946992613,0.0
2025-01-02,1002639.830857875,0.0,1002639.830857875,{},5.4794520548018255e-05,1.002639830857875,0.0
2025-01-03,912206.7700266892,90488.0,1002694.7700266892,"{'021400': {'shares': 80000.0, 'price': 1.1311, 'value': 90488.0, 'profit_pct': 0.0}}",5.4794520548018255e-05,1.002694770026689,0.0
2025-01-06,912256.7539592935,90808.0,1003064.7539592935,"{'021400': {'shares': 80000.0, 'price': 1.1351, 'value': 90808.0, 'profit_pct': 0.3536380514543368}}",0.00036898959051567815,1.0030647539592934,0.0
2025-01-07,912306.7406307433,90576.00000000001,1002882.7406307433,"{'021400': {'shares': 80000.0, 'price': 1.1322, 'value': 90576.00000000001, 'profit_pct': 0.09725046414995145}}",-0.0001814572068570275,1.0028827406307432,-0.01814572068570275
2025-01-08,912356.7300411889,90424.0,1002780.7300411889,"{'021400': {'shares': 80000.0, 'price': 1.1303, 'value': 90424.0, 'profit_pct': -0.07072761029085951}}",-0.0001017173647741565,1.0027807300411888,-0.028315611428220144
2025-01-09,912406.7221907802,89160.0,1001566.7221907802,"{'021400': {'shares': 80000.0, 'price': 1.1145, 'value': 89160.0, 'profit_pct': -1.467597913535492}}",-0.0012106413835443197,1.0015667221907802,-0.1493454697316654
2025-01-10,912456.7170796675,87928.0,1000384.7170796675,"{'021400': {'shares': 80000.0, 'price': 1.0991, 'value': 87928.0, 'profit_pct': -2.8291044116346944}}",-0.001180156134308552,1.0003847170796676,-0.26718483219028144
2025-01-13,803416.7147080007,196362.0,999778.7147080007,"{'021400': {'shares': 180000.0, 'price': 1.0909, 'value': 196362.0, 'profit_pct': -1.6114000541141835}}",-0.0006057693218624038,0.9997787147080006,-0.32759991200190797
2025-01-14,803460.7375416834,199782.00000000003,1003242.7375416834,"{'021400': {'shares': 180000.0, 'price': 1.1099, 'value': 199782.00000000003, 'profit_pct': 0.10221567507441576}}",0.0034647895406478835,1.0032427375416835,0.0
2025-01-15,803504.7627875761,199836.0,1003340.7627875761,"{'021400': {'shares': 180000.0, 'price': 1.1102, 'value': 199836.0, 'profit_pct': 0.12927276553528522}}",9.770840318545915e-05,1.0033407627875761,0.0
2025-01-16,803548.7904458111,201366.0,1004914.7904458111,"{'021400': {'shares': 180000.0, 'price': 1.1187, 'value': 201366.0, 'profit_pct': 0.8958903285933333}}",0.0015687867139593248,1.0049147904458111,0.0
2025-01-17,803592.8205165205,200825.99999999997,1004418.8205165205,"{'021400': {'shares': 180000.0, 'price': 1.1157, 'value': 200825.99999999997, 'profit_pct': 0.6253194239845987}}",-0.0004935442626639031,1.0044188205165205,-0.049354426266390305
2025-01-20,803636.8529998366,200538.00000000003,1004174.8529998366,"{'021400': {'shares': 180000.0, 'price': 1.1141, 'value': 200538.00000000003, 'profit_pct': 0.48101494152662827}}",-0.00024289421076206796,1.0041748529998367,-0.07363185943818351
2025-01-21,803680.8878958914,199367.99999999997,1003048.8878958914,"{'021400': {'shares': 180000.0, 'price': 1.1076, 'value': 199367.99999999997, 'profit_pct': -0.10522201845895682}}",-0.0011212839084562276,1.0030488878958914,-0.1856776880646671
2025-01-22,803724.9252048173,197604.00000000003,1001328.9252048173,"{'021400': {'shares': 180000.0, 'price': 1.0978, 'value': 197604.00000000003, 'profit_pct': -0.9890869735141059}}",-0.0017147346573327393,1.0013289252048174,-0.35683276583111656
2025-01-23,803768.9649267464,199620.0,1003388.9649267464,"{'021400': {'shares': 180000.0, 'price': 1.109, 'value': 199620.0, 'profit_pct': 0.021044403691787356}}",0.0020573057165085284,1.0033889649267465,-0.15183630826925976
2025-01-24,803813.0070618109,200952.0,1004765.0070618109,"{'021400': {'shares': 180000.0, 'price': 1.1164, 'value': 200952.0, 'profit_pct': 0.6884526350599808}}",0.0013713945271114358,1.0047650070618108,-0.014905083040295253
