策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.15-0.80_卖Q0.85-0.95_4买3卖_基80000_增20000,广发约定净值转换,429,4.63,8.01,-1.09,2026-06-16,2026-06-30,0.842,4.238,0.819,1.84,1080125.82,50,17,33,39,0,100.0,3.69,0,0,0.0,50,17,33,3.63,4.38,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买2卖_基80000_增20000,广发约定净值转换,429,4.59,7.94,-1.41,2026-06-12,2026-06-30,0.764,3.269,0.747,1.99,1079502.02,50,17,33,41,0,100.0,3.56,0,0,0.0,50,17,33,3.63,4.31,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.58,7.91,-1.09,2026-06-16,2026-06-30,0.85,4.189,0.817,1.77,1079204.04,50,17,33,39,0,100.0,3.58,0,0,0.0,50,17,33,3.63,4.28,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.54,7.84,-1.22,2026-06-16,2026-06-30,0.778,3.706,0.716,1.88,1078505.48,50,17,33,39,0,100.0,3.57,0,0,0.0,50,17,33,3.63,4.21,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.54,7.84,-1.22,2026-06-16,2026-06-30,0.778,3.706,0.716,1.88,1078505.48,50,17,33,39,0,100.0,3.57,0,0,0.0,50,17,33,3.63,4.21,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.51,7.8,-1.09,2026-06-16,2026-06-30,0.819,4.124,0.766,1.75,1078024.61,51,17,34,38,0,100.0,3.58,0,0,0.0,51,17,34,3.63,4.17,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.5,7.78,-1.22,2026-06-16,2026-06-30,0.76,3.676,0.705,1.88,1077896.09,50,17,33,39,0,100.0,3.53,0,0,0.0,50,17,33,3.63,4.15,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.5,7.78,-1.54,2026-06-12,2026-06-30,0.706,2.929,0.655,2.03,1077881.69,50,17,33,41,0,100.0,3.45,0,0,0.0,50,17,33,3.63,4.15,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.5,7.78,-1.54,2026-06-12,2026-06-30,0.706,2.929,0.655,2.03,1077881.69,50,17,33,41,0,100.0,3.45,0,0,0.0,50,17,33,3.63,4.15,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.48,7.75,-1.22,2026-06-16,2026-06-30,0.782,3.663,0.706,1.81,1077583.7,50,17,33,39,0,100.0,3.46,0,0,0.0,50,17,33,3.63,4.12,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.48,7.75,-1.22,2026-06-16,2026-06-30,0.782,3.663,0.706,1.81,1077583.7,50,17,33,39,0,100.0,3.46,0,0,0.0,50,17,33,3.63,4.12,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.47,7.72,-1.54,2026-06-12,2026-06-30,0.689,2.904,0.645,2.03,1077272.3,50,17,33,41,0,100.0,3.41,0,0,0.0,50,17,33,3.63,4.09,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.45,7.69,-1.22,2026-06-16,2026-06-30,0.763,3.632,0.695,1.81,1076974.32,50,17,33,39,0,100.0,3.42,0,0,0.0,50,17,33,3.63,4.06,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买3卖_基80000_增20000,广发约定净值转换,429,4.43,7.66,-1.0,2026-06-16,2026-06-30,0.824,4.411,0.749,1.65,1076671.66,48,16,32,35,0,100.0,3.77,0,0,0.0,48,16,32,3.63,4.03,2.35
