date,cash,position_value,total_value,positions,return,equity,drawdown
2020-06-01,1000000.0,0.0,1000000.0,{},,1.0,0.0
2020-06-02,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-03,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-04,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-05,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-08,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-09,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-10,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-11,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-12,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-15,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-16,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-17,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-18,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-19,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-22,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-23,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-24,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-29,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-06-30,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-01,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-02,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-03,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-06,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-07,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-08,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-09,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-10,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-13,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-14,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-15,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-16,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-17,1000000.0,0.0,1000000.0,{},0.0,1.0,0.0
2020-07-20,10032.016275280155,988682.3999999999,998714.4162752801,"{'510300': {'shares': 233400.0, 'price': 4.236, 'value': 988682.3999999999, 'profit_pct': -0.09990009990009246}}",-0.0012855837247199853,0.99871441627528,-0.12855837247199853
2020-07-21,10032.016275280155,991483.2000000001,1001515.2162752802,"{'510300': {'shares': 233400.0, 'price': 4.248, 'value': 991483.2000000001, 'profit_pct': 0.18310301596422396}}",0.0028044052978084544,1.0015152162752803,0.0
2020-07-22,10032.016275280155,1003853.4,1013885.4162752802,"{'510300': {'shares': 233400.0, 'price': 4.301, 'value': 1003853.4, 'profit_pct': 1.433033444364906}}",0.01235148482916304,1.0138854162752802,0.0
2020-07-23,10230.201551920269,994996.2,1005226.4015519202,"{'159915': {'shares': 367700.0, 'price': 2.706, 'value': 994996.2, 'profit_pct': -0.0999000999000953}}",-0.008540427334649547,1.0052264015519201,-0.8540427334649547
2020-07-24,9422.179186510504,931239.6,940661.7791865105,"{'510300': {'shares': 229200.0, 'price': 4.063, 'value': 931239.6, 'profit_pct': -0.09990009990008722}}",-0.0642289361538172,0.9406617791865105,-7.222082092646332
