date,cash,position_value,total_value,positions,return,equity,drawdown
2020-06-01,667166.5787196402,332401.2,999567.7787196401,"{'510300': {'shares': 95600.0, 'price': 3.477, 'value': 332401.2, 'profit_pct': -0.09990009990009216}}",,0.9995677787196401,0.0
2020-06-02,753904.8982150002,246601.6,1000506.4982150001,"{'510300': {'shares': 70700.0, 'price': 3.488, 'value': 246601.6, 'profit_pct': 0.21614853366364412}}",0.0009391254053452425,1.000506498215,0.0
2020-06-03,842707.8308405501,157612.4,1000320.2308405502,"{'510300': {'shares': 45200.0, 'price': 3.487, 'value': 157612.4, 'profit_pct': 0.18741683970330794}}",-0.00018617307811819028,1.00032023084055,-0.01861730781181903
2020-06-04,934000.8229240901,66291.0,1000291.8229240901,"{'510300': {'shares': 19000.0, 'price': 3.489, 'value': 66291.0, 'profit_pct': 0.24488022762398032}}",-2.8398822281339164e-05,1.00029182292409,-0.02145666133034352
2020-06-05,1000642.0965424901,0.0,1000642.0965424901,{},0.00035017143034932197,1.00064209654249,0.0
2020-06-08,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-09,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-10,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-11,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-12,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-15,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-16,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-17,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-18,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-19,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-22,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-23,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-24,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-29,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-06-30,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-07-01,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-07-02,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-07-03,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-07-06,1000642.0965424901,0.0,1000642.0965424901,{},0.0,1.00064209654249,0.0
2020-07-07,917331.9089818901,83202.0,1000533.9089818901,"{'510300': {'shares': 19600.0, 'price': 4.245, 'value': 83202.0, 'profit_pct': -0.0999000999000803}}",-0.00010811813831723693,1.00053390898189,-0.010811813831723693
2020-07-08,917331.9089818901,84417.20000000001,1001749.1089818901,"{'510300': {'shares': 19600.0, 'price': 4.307, 'value': 84417.20000000001, 'profit_pct': 1.3591826312674633}}",0.0012145515400239226,1.0017491089818902,0.0
2020-07-09,917331.9089818901,85867.6,1003199.50898189,"{'510300': {'shares': 19600.0, 'price': 4.381, 'value': 85867.6, 'profit_pct': 3.10066847169323}}",0.0014478675219127268,1.0031995089818901,0.0
2020-07-10,917331.9089818901,84162.4,1001494.3089818901,"{'510300': {'shares': 19600.0, 'price': 4.294, 'value': 84162.4, 'profit_pct': 1.0532459295710257}}",-0.0016997615975016256,1.0014943089818902,-0.16997615975016256
2020-07-13,917331.9089818901,86122.40000000001,1003454.3089818901,"{'510300': {'shares': 19600.0, 'price': 4.394, 'value': 86122.40000000001, 'profit_pct': 3.4066051733896465}}",0.001957075524465557,1.0034543089818901,0.0
2020-07-14,917331.9089818901,85279.6,1002611.50898189,"{'510300': {'shares': 19600.0, 'price': 4.351, 'value': 85279.6, 'profit_pct': 2.3946606985476415}}",-0.0008398987302722372,1.00261150898189,-0.08398987302722372
2020-07-15,917331.9089818901,84142.8,1001474.7089818901,"{'510300': {'shares': 19600.0, 'price': 4.293, 'value': 84142.8, 'profit_pct': 1.0297123371328527}}",-0.0011338389693474893,1.00147470898189,-0.19727853897089087
2020-07-16,834298.08030409,162600.00000000003,996898.08030409,"{'510300': {'shares': 40000.0, 'price': 4.065, 'value': 162600.00000000003, 'profit_pct': -2.221442238778264}}",-0.004569889420824924,0.99689808030409,-0.6533659399451941
2020-07-17,834298.08030409,164560.0,998858.08030409,"{'510300': {'shares': 40000.0, 'price': 4.114, 'value': 164560.0, 'profit_pct': -1.0428077171792938}}",0.0019660986802203517,0.9988580803040901,-0.45804065383538983
2020-07-20,920600.16750841,83025.59999999999,1003625.76750841,"{'510300': {'shares': 19600.0, 'price': 4.236, 'value': 83025.59999999999, 'profit_pct': 1.8917517039447014}}",0.004773137744321421,1.00362576750841,0.0
2020-07-21,920600.16750841,83260.8,1003860.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.248, 'value': 83260.8, 'profit_pct': 2.180396892907728}}",0.000234350300295727,1.00386096750841,0.0
2020-07-22,920600.16750841,84299.6,1004899.76750841,"{'510300': {'shares': 19600.0, 'price': 4.301, 'value': 84299.6, 'profit_pct': 3.4552464774943816}}",0.001034804652857657,1.00489976750841,0.0
2020-07-23,920600.16750841,83790.0,1004390.16750841,"{'510300': {'shares': 19600.0, 'price': 4.275, 'value': 83790.0, 'profit_pct': 2.8298485680745182}}",-0.0005071152531594958,1.0043901675084101,-0.05071152531594958
2020-07-24,920600.16750841,79634.79999999999,1000234.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.063, 'value': 79634.79999999999, 'profit_pct': -2.269549770272116}}",-0.004137037711458014,1.0002349675084101,-0.46420550096911706
2020-07-27,920600.16750841,80183.6,1000783.76750841,"{'510300': {'shares': 19600.0, 'price': 4.091, 'value': 80183.6, 'profit_pct': -1.5960443293584006}}",0.000548671080123242,1.0007837675084101,-0.4095930890904098
2020-07-28,920600.16750841,80869.6,1001469.76750841,"{'510300': {'shares': 19600.0, 'price': 4.126, 'value': 80869.6, 'profit_pct': -0.7541625282162665}}",0.0006854627565631155,1.00146976750841,-0.3413275742420008
2020-07-29,920600.16750841,83456.8,1004056.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.258, 'value': 83456.8, 'profit_pct': 2.4209345503769035}}",0.0025834029982121365,1.0040569675084101,-0.0838690610994619
2020-07-30,920600.16750841,82770.8,1003370.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.223, 'value': 82770.8, 'profit_pct': 1.5790527492347697}}",-0.0006832281655315686,1.0033709675084101,-0.15213457594785984
2020-07-31,920600.16750841,83476.40000000001,1004076.5675084101,"{'510300': {'shares': 19600.0, 'price': 4.259, 'value': 83476.40000000001, 'profit_pct': 2.4449883161238297}}",0.0007032294364188729,1.00407656750841,-0.08191861781807752
2020-08-03,920600.16750841,84946.4,1005546.5675084101,"{'510300': {'shares': 19600.0, 'price': 4.334, 'value': 84946.4, 'profit_pct': 4.249020747142664}}",0.0014640317756322574,1.00554656750841,0.0
2020-08-04,920600.16750841,85024.8,1005624.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.338, 'value': 85024.8, 'profit_pct': 4.3452358101303465}}",7.796754773314873e-05,1.0056249675084101,0.0
2020-08-05,920600.16750841,85064.0,1005664.16750841,"{'510300': {'shares': 19600.0, 'price': 4.34, 'value': 85064.0, 'profit_pct': 4.393343341624177}}",3.898073463415308e-05,1.0056641675084101,0.0
2020-08-06,920600.16750841,84711.2,1005311.36750841,"{'510300': {'shares': 19600.0, 'price': 4.322, 'value': 84711.2, 'profit_pct': 3.960375558179658}}",-0.00035081293676209047,1.00531136750841,-0.03508129367620905
2020-08-07,920600.16750841,83770.4,1004370.5675084101,"{'510300': {'shares': 19600.0, 'price': 4.274, 'value': 83770.4, 'profit_pct': 2.805794802327592}}",-0.0009358294657819677,1.00437056750841,-0.12863141014608503
2020-08-10,920600.16750841,84084.0,1004684.16750841,"{'510300': {'shares': 19600.0, 'price': 4.29, 'value': 84084.0, 'profit_pct': 3.1906550542782806}}",0.0003122353543054679,1.0046841675084102,-0.0974480379894671
2020-08-11,920600.16750841,83162.8,1003762.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.243, 'value': 83162.8, 'profit_pct': 2.060128064173141}}",-0.0009169050630950526,1.00376296750841,-0.1890491936995531
2020-08-12,920600.16750841,82535.6,1003135.76750841,"{'510300': {'shares': 19600.0, 'price': 4.211, 'value': 82535.6, 'profit_pct': 1.290407560271764}}",-0.0006248487145893433,1.00313576750841,-0.25141593801281115
2020-08-13,920600.16750841,82241.59999999999,1002841.76750841,"{'510300': {'shares': 19600.0, 'price': 4.196, 'value': 82241.59999999999, 'profit_pct': 0.9296010740679799}}",-0.0002930809662288203,1.00284176750841,-0.28065034940965017
2020-08-14,920600.16750841,84025.2,1004625.36750841,"{'510300': {'shares': 19600.0, 'price': 4.287, 'value': 84025.2, 'profit_pct': 3.1184937570375237}}",0.0017785457863721543,1.00462536750841,-0.10329492026883713
2020-08-17,920600.16750841,85965.6,1006565.76750841,"{'510300': {'shares': 19600.0, 'price': 4.386, 'value': 85965.6, 'profit_pct': 5.499816565982412}}",0.0019314662587233133,1.00656576750841,0.0
2020-08-18,920600.16750841,85828.4,1006428.5675084101,"{'510300': {'shares': 19600.0, 'price': 4.379, 'value': 85828.4, 'profit_pct': 5.331440205753973}}",-0.00013630505271355897,1.0064285675084101,-0.013630505271355897
2020-08-19,920600.16750841,84338.8,1004938.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.303, 'value': 84338.8, 'profit_pct': 3.5033540089882123}}",-0.0014800851725500497,1.0049389675084102,-0.16161884821761507
2020-08-20,920600.16750841,83339.2,1003939.36750841,"{'510300': {'shares': 19600.0, 'price': 4.252, 'value': 83339.2, 'profit_pct': 2.27661195589539}}",-0.0009946872718832322,1.00393936750841,-0.2609268151947286
2020-08-21,920600.16750841,84142.8,1004742.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.293, 'value': 84142.8, 'profit_pct': 3.262816351519037}}",0.0008004467460962505,1.00474296750841,-0.18109099860528222
2020-08-24,920600.16750841,84730.8,1005330.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.323, 'value': 84730.8, 'profit_pct': 3.9844293239265838}}",0.0005852243001591706,1.0053309675084101,-0.12267454744229189
2020-08-25,920600.16750841,84907.2,1005507.36750841,"{'510300': {'shares': 19600.0, 'price': 4.332, 'value': 84907.2, 'profit_pct': 4.200913215648833}}",0.00017546460389761265,1.00550736750841,-0.10514961209340257
2020-08-26,920600.16750841,83750.79999999999,1004350.9675084101,"{'510300': {'shares': 19600.0, 'price': 4.273, 'value': 83750.79999999999, 'profit_pct': 2.781741036580666}}",-0.0011500661629814113,1.0043509675084101,-0.2200352993806165
2020-08-27,920600.16750841,84456.40000000001,1005056.5675084101,"{'510300': {'shares': 19600.0, 'price': 4.309, 'value': 84456.40000000001, 'profit_pct': 3.647676603469726}}",0.0007025432571150514,1.00505656750841,-0.1499355579850259
2020-08-28,1006352.96954773,885.2,1007238.16954773,"{'510300': {'shares': 200.0, 'price': 4.426, 'value': 885.2, 'profit_pct': 6.461967195859134}}",0.0021706261217995237,1.00723816954773,0.0
2020-08-31,1006352.96954773,876.6,1007229.56954773,"{'510300': {'shares': 200.0, 'price': 4.383, 'value': 876.6, 'profit_pct': 5.427655268741655}}",-8.538199067542607e-06,1.00722956954773,-0.0008538199067542607
2020-09-01,1006352.96954773,883.4,1007236.3695477301,"{'510300': {'shares': 200.0, 'price': 4.417, 'value': 883.4, 'profit_pct': 6.245483304136863}}",6.75119178938921e-06,1.00723636954773,-0.00017870649210438572
2020-09-02,1006352.96954773,882.6,1007235.56954773,"{'510300': {'shares': 200.0, 'price': 4.413, 'value': 882.6, 'profit_pct': 6.149268241149201}}",-7.942524954396291e-07,1.00723556954773,-0.00025813159971743715
2020-09-03,1006352.96954773,878.5999999999999,1007231.56954773,"{'510300': {'shares': 200.0, 'price': 4.393, 'value': 878.5999999999999, 'profit_pct': 5.66819292621083}}",-3.971265631341758e-06,1.00723156954773,-0.0006552571377382854
2020-09-04,1006352.96954773,867.6,1007220.56954773,"{'510300': {'shares': 200.0, 'price': 4.338, 'value': 867.6, 'profit_pct': 4.3452358101303465}}",-1.0921023856469425e-05,1.00722056954773,-0.0017473523672983937
2020-09-07,1006352.96954773,848.1999999999999,1007201.16954773,"{'510300': {'shares': 200.0, 'price': 4.241, 'value': 848.1999999999999, 'profit_pct': 2.012020532679289}}",-1.9260925150366148e-05,1.00720116954773,-0.0036734112267233776
2020-09-08,1006352.96954773,852.9999999999999,1007205.96954773,"{'510300': {'shares': 200.0, 'price': 4.265, 'value': 852.9999999999999, 'profit_pct': 2.5893109106053216}}",4.765681519414144e-06,1.00720596954773,-0.003196860581089478
2020-09-09,1006352.96954773,830.8,1007183.7695477301,"{'510300': {'shares': 200.0, 'price': 4.154, 'value': 830.8, 'profit_pct': -0.08065708730257218}}",-2.2041171985787145e-05,1.0071837695477301,-0.005400907317121284
2020-09-10,1006352.96954773,831.6,1007184.56954773,"{'510300': {'shares': 200.0, 'price': 4.158, 'value': 831.6, 'profit_pct': 0.015557975685110649}}",7.942939750371636e-07,1.00718456954773,-0.005321482209519335
2020-09-11,1006352.96954773,838.8,1007191.7695477301,"{'510300': {'shares': 200.0, 'price': 4.194, 'value': 838.8, 'profit_pct': 0.8814935425741491}}",7.148640098098014e-06,1.0071917695477302,-0.004606656241068485
2020-09-14,1006352.96954773,844.2,1007197.16954773,"{'510300': {'shares': 200.0, 'price': 4.221, 'value': 844.2, 'profit_pct': 1.5309452177409388}}",5.361441746343232e-06,1.00719716954773,-0.004070536764744226
2020-09-15,1006352.96954773,851.2,1007204.16954773,"{'510300': {'shares': 200.0, 'price': 4.256, 'value': 851.2, 'profit_pct': 2.372827018883073}}",6.949979816983642e-06,1.00720416954773,-0.003375567073204966
2020-09-16,1006352.96954773,845.5999999999999,1007198.56954773,"{'510300': {'shares': 200.0, 'price': 4.228, 'value': 845.5999999999999, 'profit_pct': 1.6993215779693573}}",-5.559945212008088e-06,1.0071985695477301,-0.003931542826440815
2020-09-17,1006352.96954773,839.8,1007192.7695477301,"{'510300': {'shares': 200.0, 'price': 4.199, 'value': 839.8, 'profit_pct': 1.0017623713087367}}",-5.758546701040146e-06,1.00719276954773,-0.004507374856566049
2020-09-18,1006352.96954773,864.0,1007216.96954773,"{'510300': {'shares': 200.0, 'price': 4.32, 'value': 864.0, 'profit_pct': 3.912268026685827}}",2.4027178045393782e-05,1.00721696954773,-0.0021047653515182674
2020-09-21,1006352.96954773,852.9999999999999,1007205.96954773,"{'510300': {'shares': 200.0, 'price': 4.265, 'value': 852.9999999999999, 'profit_pct': 2.5893109106053216}}",-1.092118216095006e-05,1.00720596954773,-0.003196860581089478
2020-09-22,1006352.96954773,841.6,1007194.56954773,"{'510300': {'shares': 200.0, 'price': 4.208, 'value': 841.6, 'profit_pct': 1.2182462630310071}}",-1.1318439668395186e-05,1.00719456954773,-0.004328668364461663
