date,cash,position_value,total_value,positions,return,equity,drawdown
2020-06-01,500070.3856958801,499280.39999999997,999350.7856958801,"{'510300': {'shares': 71800.0, 'price': 3.477, 'value': 249648.59999999998, 'profit_pct': -0.09990009990009216}, '159915': {'shares': 119900.0, 'price': 2.082, 'value': 249631.8, 'profit_pct': -0.0999000999000853}}",,0.9993507856958801,0.0
2020-06-02,500070.3856958801,498271.7,998342.0856958801,"{'510300': {'shares': 71800.0, 'price': 3.488, 'value': 250438.4, 'profit_pct': 0.21614853366364412}, '159915': {'shares': 119900.0, 'price': 2.067, 'value': 247833.30000000002, 'profit_pct': -0.8196414536471874}}",-0.0010093552878908119,0.9983420856958801,-0.10093552878908119
2020-06-03,500070.3856958801,497360.6,997430.9856958801,"{'510300': {'shares': 71800.0, 'price': 3.487, 'value': 250366.6, 'profit_pct': 0.18741683970330794}, '159915': {'shares': 119900.0, 'price': 2.06, 'value': 246994.0, 'profit_pct': -1.1555207520625146}}",-0.0009126130342035355,0.9974309856958802,-0.19210471713024813
2020-06-04,500070.3856958801,499062.89999999997,999133.2856958801,"{'510300': {'shares': 71800.0, 'price': 3.489, 'value': 250510.19999999998, 'profit_pct': 0.24488022762398032}, '159915': {'shares': 119900.0, 'price': 2.073, 'value': 248552.69999999998, 'profit_pct': -0.531744912148351}}",0.001706684496885158,0.9991332856958801,-0.02176412958424523
2020-06-05,500070.3856958801,502392.9,1002463.2856958802,"{'510300': {'shares': 71800.0, 'price': 3.512, 'value': 252161.6, 'profit_pct': 0.9057091887117891}, '159915': {'shares': 119900.0, 'price': 2.087, 'value': 250231.30000000002, 'profit_pct': 0.1400136846823034}}",0.0033328886622776555,1.0024632856958802,0.0
2020-06-08,500070.3856958801,502078.5,1002148.88569588,"{'510300': {'shares': 71800.0, 'price': 3.531, 'value': 253525.80000000002, 'profit_pct': 1.4516113739582404}, '159915': {'shares': 119900.0, 'price': 2.073, 'value': 248552.69999999998, 'profit_pct': -0.531744912148351}}",-0.0003136274459986099,1.00214888569588,-0.03136274459986099
2020-06-09,500070.3856958801,507494.19999999995,1007564.58569588,"{'510300': {'shares': 71800.0, 'price': 3.558, 'value': 255464.4, 'profit_pct': 2.227367110887394}, '159915': {'shares': 119900.0, 'price': 2.102, 'value': 252029.8, 'profit_pct': 0.8597550384294057}}",0.005404087234242905,1.00756458569588,0.0
2020-06-10,500070.3856958801,509246.0,1009316.38569588,"{'510300': {'shares': 71800.0, 'price': 3.549, 'value': 254818.19999999998, 'profit_pct': 1.9687818652443427}, '159915': {'shares': 119900.0, 'price': 2.122, 'value': 254427.8, 'profit_pct': 1.8194101767588966}}",0.001738647849348629,1.00931638569588,0.0
2020-06-11,500070.3856958801,506229.70000000007,1006300.0856958802,"{'510300': {'shares': 71800.0, 'price': 3.512, 'value': 252161.6, 'profit_pct': 0.9057091887117891}, '159915': {'shares': 119900.0, 'price': 2.119, 'value': 254068.10000000003, 'profit_pct': 1.6754619060094889}}",-0.0029884583691962563,1.0063000856958801,-0.29884583691962563
2020-06-12,500070.3856958801,509585.5,1009655.88569588,"{'510300': {'shares': 71800.0, 'price': 3.522, 'value': 252879.59999999998, 'profit_pct': 1.1930261283151766}, '159915': {'shares': 119900.0, 'price': 2.141, 'value': 256705.9, 'profit_pct': 2.7310825581719183}}",0.003334790533858767,1.00965588569588,0.0
2020-06-15,500070.3856958801,505492.9,1005563.2856958802,"{'510300': {'shares': 71800.0, 'price': 3.465, 'value': 248787.0, 'profit_pct': -0.44468042742416464}, '159915': {'shares': 119900.0, 'price': 2.141, 'value': 256705.9, 'profit_pct': 2.7310825581719183}}",-0.00405346025114206,1.0055632856958803,-0.40534602511420603
2020-06-16,500070.3856958801,514980.3,1015050.6856958801,"{'510300': {'shares': 71800.0, 'price': 3.527, 'value': 253238.6, 'profit_pct': 1.336684598116883}, '159915': {'shares': 119900.0, 'price': 2.183, 'value': 261741.69999999998, 'profit_pct': 4.746358348663839}}",0.009434910895174786,1.01505068569588,0.0
2020-06-17,500070.3856958801,515867.0,1015937.38569588,"{'510300': {'shares': 71800.0, 'price': 3.531, 'value': 253525.80000000002, 'profit_pct': 1.4516113739582404}, '159915': {'shares': 119900.0, 'price': 2.188, 'value': 262341.2, 'profit_pct': 4.986272133246228}}",0.0008735524368341796,1.01593738569588,0.0
2020-06-18,500070.3856958801,518812.19999999995,1018882.58569588,"{'510300': {'shares': 71800.0, 'price': 3.562, 'value': 255751.59999999998, 'profit_pct': 2.3422938867287515}, '159915': {'shares': 119900.0, 'price': 2.194, 'value': 263060.6, 'profit_pct': 5.274168674745064}}",0.002898997557789995,1.01888258569588,0.0
2020-06-19,500070.3856958801,527821.4,1027891.7856958802,"{'510300': {'shares': 71800.0, 'price': 3.614, 'value': 259485.19999999998, 'profit_pct': 3.836341972666399}, '159915': {'shares': 119900.0, 'price': 2.238, 'value': 268336.2, 'profit_pct': 7.385409979069944}}",0.008842235726157943,1.0278917856958802,0.0
2020-06-22,500070.3856958801,531106.1,1031176.4856958801,"{'510300': {'shares': 71800.0, 'price': 3.618, 'value': 259772.4, 'profit_pct': 3.951268748507756}, '159915': {'shares': 119900.0, 'price': 2.263, 'value': 271333.7, 'profit_pct': 8.584978901981803}}",0.003195569850552138,1.03117648569588,0.0
2020-06-23,500070.3856958801,537745.9,1037816.2856958802,"{'510300': {'shares': 71800.0, 'price': 3.637, 'value': 261136.6, 'profit_pct': 4.497170933754208}, '159915': {'shares': 119900.0, 'price': 2.307, 'value': 276609.3, 'profit_pct': 10.696220206306682}}",0.006439052957573299,1.0378162856958801,0.0
2020-06-24,500070.3856958801,540330.7,1040401.08569588,"{'510300': {'shares': 71800.0, 'price': 3.673, 'value': 263721.4, 'profit_pct': 5.5315119163264255}, '159915': {'shares': 119900.0, 'price': 2.307, 'value': 276609.3, 'profit_pct': 10.696220206306682}}",0.0024906142210581184,1.04040108569588,0.0
