date,percentile,zone,buy_tiers,sell_tiers
2019-04-08,0.9836,over,0,3
2019-05-06,0.9487,over,0,3
2019-05-13,0.6627,mid,4,3
2019-05-15,0.8471,over,0,3
2019-05-20,0.7159,mid,4,3
2019-06-03,0.4184,mid,4,3
2019-06-10,0.902,over,0,3
2019-07-01,0.9915,over,0,3
2019-08-01,0.8511,over,0,3
2019-08-05,0.5524,mid,4,3
2019-08-08,0.8973,over,0,3
2019-08-14,0.72,mid,4,3
2019-08-16,0.8224,over,0,3
2019-08-23,0.7006,mid,4,3
2019-08-27,0.8113,over,0,3
2019-09-02,0.9264,over,0,3
2019-09-27,0.7901,mid,4,3
2019-09-30,0.8846,over,0,3
2019-10-08,0.7213,mid,4,3
2019-10-10,0.8757,over,0,3
2019-11-01,0.995,over,0,3
2019-12-02,0.973,over,0,3
2020-01-02,0.9959,over,0,3
2020-02-03,0.9846,over,0,3
2020-02-27,0.7878,mid,4,3
2020-03-02,0.8786,over,0,3
2020-03-06,0.7711,mid,4,3
2020-03-12,0.1944,under,4,0
2020-03-13,0.5986,mid,4,3
2020-03-16,0.131,under,4,0
2020-03-17,0.268,mid,4,3
2020-03-18,0.1815,under,4,0
2020-03-19,0.2218,mid,4,3
2020-03-20,0.1531,under,4,0
2020-03-24,0.3682,mid,4,3
2020-04-01,0.3311,mid,4,3
2020-04-14,0.8419,over,0,3
2020-04-21,0.7492,mid,4,3
2020-04-22,0.8386,over,0,3
2020-05-06,0.9071,over,0,3
2020-06-01,0.9824,over,0,3
2020-07-01,0.9972,over,0,3
2020-08-03,0.9974,over,0,3
2020-09-01,0.9975,over,0,3
2020-10-09,0.9672,over,0,3
2020-11-02,0.8352,over,0,3
2020-12-01,0.9849,over,0,3
2021-01-04,0.9671,over,0,3
2021-02-01,0.9882,over,0,3
2021-03-01,0.9713,over,0,3
2021-04-01,0.9817,over,0,3
2021-05-06,0.9629,over,0,3
2021-06-01,0.9298,over,0,3
2021-07-01,0.9983,over,0,3
2021-08-02,0.9904,over,0,3
2021-09-01,0.9985,over,0,3
2021-10-08,0.9208,over,0,3
2021-11-01,0.9985,over,0,3
2021-12-01,0.9661,over,0,3
2022-01-04,0.9712,over,0,3
2022-01-25,0.7799,mid,4,3
2022-01-28,0.8075,over,0,3
2022-02-07,0.8104,over,0,3
2022-02-11,0.7928,mid,4,3
2022-02-15,0.8079,over,0,3
2022-02-17,0.7751,mid,4,3
2022-03-01,0.7487,mid,4,3
2022-03-22,0.8108,over,0,3
2022-04-01,0.8175,over,0,3
2022-04-06,0.7937,mid,4,3
2022-05-05,0.6045,mid,4,3
2022-06-01,0.5595,mid,4,3
2022-07-01,0.414,mid,4,3
2022-08-01,0.6508,mid,4,3
2022-09-01,0.5317,mid,4,3
2022-10-10,0.3148,mid,4,3
2022-11-01,0.4127,mid,4,3
2022-12-01,0.5635,mid,4,3
2022-12-28,0.1958,under,4,0
2022-12-29,0.2275,mid,4,3
2023-01-03,0.2011,mid,4,3
2023-01-05,0.1865,under,4,0
2023-01-06,0.2209,mid,4,3
2023-02-01,0.4696,mid,4,3
2023-03-01,0.4153,mid,4,3
2023-04-03,0.6852,mid,4,3
2023-05-04,0.6402,mid,4,3
2023-05-18,0.8042,over,0,3
2023-05-23,0.7923,mid,4,3
2023-05-25,0.8241,over,0,3
2023-06-01,0.9008,over,0,3
2023-07-03,0.9987,over,0,3
2023-08-01,0.9921,over,0,3
2023-09-01,0.9894,over,0,3
2023-10-09,0.9193,over,0,3
2023-10-25,0.7897,mid,4,3
2023-11-01,0.8347,over,0,3
2023-12-01,0.9881,over,0,3
2024-01-02,0.9802,over,0,3
2024-02-01,0.9881,over,0,3
2024-03-01,0.9987,over,0,3
2024-04-01,0.9921,over,0,3
2024-05-06,0.9762,over,0,3
2024-06-03,0.9881,over,0,3
2024-07-01,0.9947,over,0,3
2024-08-01,0.9458,over,0,3
2024-09-02,0.9471,over,0,3
2024-10-08,0.9815,over,0,3
2024-11-01,0.963,over,0,3
2024-12-02,0.9987,over,0,3
2025-01-02,0.959,over,0,3
2025-02-05,0.9788,over,0,3
2025-03-03,0.8823,over,0,3
2025-03-10,0.791,mid,4,3
2025-03-14,0.8108,over,0,3
2025-03-18,0.7897,mid,4,3
2025-03-19,0.8095,over,0,3
2025-03-28,0.7698,mid,4,3
2025-04-01,0.7751,mid,4,3
2025-05-06,0.8095,over,0,3
2025-06-03,0.9643,over,0,3
2025-07-01,0.9947,over,0,3
2025-08-01,0.9735,over,0,3
2025-09-01,0.9749,over,0,3
2025-10-09,0.9987,over,0,3
2025-11-03,0.996,over,0,3
2025-12-01,0.9815,over,0,3
2026-01-05,0.9511,over,0,3
2026-02-02,0.9497,over,0,3
2026-03-02,0.8664,over,0,3
2026-03-20,0.7765,mid,4,3
2026-04-01,0.7844,mid,4,3
2026-04-08,0.8466,over,0,3
2026-05-06,0.9987,over,0,3
2026-06-01,0.9987,over,0,3
2026-07-01,0.9802,over,0,3
2026-08-03,0.9286,over,0,3
2026-09-01,0.9061,over,0,3
