date,target,cash,total,021400_pct,021400_dd,021400_shares,021093_pct,021093_dd,021093_shares,017513_pct,017513_dd,017513_shares
2024-11-21,021400,308416.89,1000054.79,0.7551,0.047,607552.62,0.8333,0.0628,0.0,0.95,0.0209,0.0
2024-11-28,021400,297059.93,988231.27,0.3889,0.0635,617779.17,0.725,0.0796,0.0,0.8083,0.1015,0.0
2024-12-05,021093,301421.08,1002398.03,0.7966,0.0444,0.0,0.7083,0.0731,680361.98,0.8667,0.0627,0.0
2024-12-12,017513,322783.49,1039560.35,0.9531,0.0221,0.0,0.95,0.024,0.0,0.7167,0.1069,503920.74
2024-12-19,017513,317148.74,1009161.59,0.8116,0.0391,0.0,0.7667,0.0605,0.0,0.6667,0.1449,508123.1
2024-12-26,017513,292436.1,973832.31,0.7973,0.0367,0.0,0.8083,0.0548,0.0,0.6,0.1887,527314.82
2025-01-03,021400,279306.36,920284.52,0.443,0.0532,566685.67,0.5833,0.0721,0.0,0.5333,0.2525,0.0
2025-01-10,021400,273249.65,902227.11,0.1548,0.0799,572265.91,0.4167,0.126,0.0,0.5167,0.2483,0.0
2025-01-17,021400,273324.52,913518.39,0.2697,0.066,572265.91,0.4583,0.0953,0.0,0.5917,0.1796,0.0
2025-01-24,021400,273399.41,908042.3,0.3085,0.0655,572265.91,0.65,0.0641,0.0,0.525,0.21,0.0
2025-02-10,021400,273474.32,912123.08,0.303,0.0669,572265.91,0.9917,0.0,0.0,0.7083,0.1085,0.0
2025-02-17,021400,273549.25,915173.79,0.3269,0.0652,572265.91,0.9833,0.005,0.0,0.7917,0.089,0.0
2025-02-24,021400,271447.35,903860.65,0.156,0.0781,574242.53,0.9833,0.015,0.0,0.9417,0.0227,0.0
2025-03-03,021400,271521.73,909160.64,0.2193,0.0716,574242.53,0.9083,0.0684,0.0,0.9083,0.0293,0.0
2025-03-10,021400,271596.13,911933.97,0.4118,0.0641,574242.53,0.9667,0.0348,0.0,0.9833,0.002,0.0
2025-03-17,021400,271670.55,923837.79,0.7417,0.0462,574242.53,0.9583,0.034,0.0,0.9917,0.0,0.0
2025-03-24,021400,271744.99,921787.53,0.6833,0.0477,574242.53,0.875,0.0584,0.0,0.7667,0.0795,0.0
2025-03-31,021400,271819.44,922838.2,0.4667,0.0557,574242.53,0.7333,0.1107,0.0,0.6167,0.1099,0.0
2025-04-08,021400,271893.92,888228.43,0.0333,0.0599,574242.53,0.5583,0.2292,0.0,0.225,0.2227,0.0
2025-04-15,021400,271968.42,912535.97,0.4083,0.0408,574242.53,0.6417,0.1741,0.0,0.7083,0.0828,0.0
2025-04-22,021400,272042.94,916400.49,0.5,0.036,574242.53,0.6333,0.1848,0.0,0.875,0.0506,0.0
2025-04-29,021400,272117.48,918255.18,0.45,0.0388,574242.53,0.65,0.1593,0.0,0.6167,0.092,0.0
2025-05-09,021400,272192.05,919707.92,0.6333,0.0297,574242.53,0.6917,0.117,0.0,0.9083,0.0364,0.0
2025-05-16,021093,280805.37,927362.5,0.7667,0.0235,0.0,0.6667,0.1165,530660.81,0.975,0.0077,0.0
2025-05-23,021093,278863.37,927227.18,0.8,0.0205,0.0,0.6417,0.1168,532318.4,0.8083,0.0716,0.0
2025-05-30,021093,278939.78,933318.79,0.7167,0.0235,0.0,0.525,0.1325,532318.4,0.9083,0.0469,0.0
2025-06-09,021093,279016.21,931106.25,0.8083,0.0194,0.0,0.7833,0.0864,532318.4,0.9667,0.0234,0.0
2025-06-16,021093,279092.66,935334.78,0.8417,0.0168,0.0,0.7583,0.087,532318.4,0.8583,0.0408,0.0
2025-06-23,021093,279169.13,927639.41,0.8833,0.0165,0.0,0.5917,0.1112,532318.4,0.7,0.0651,0.0
2025-06-30,021093,279245.63,953107.49,0.9333,0.0113,0.0,0.7333,0.087,532318.4,0.975,0.0147,0.0
2025-07-07,021093,279322.14,932370.35,0.9917,0.0,0.0,0.5333,0.1102,532318.4,0.7583,0.0433,0.0
2025-07-14,021093,279398.68,941230.14,0.9917,0.0,0.0,0.7167,0.0888,532318.4,0.9083,0.0264,0.0
2025-07-21,021093,296624.71,986447.3,0.9917,0.0,0.0,0.9167,0.0369,519405.61,0.9667,0.0113,0.0
2025-07-28,021093,298532.41,988190.67,0.9583,0.0154,0.0,0.9083,0.0346,518033.7,0.95,0.0094,0.0
2025-08-04,021093,296503.85,979206.88,0.9,0.0256,0.0,0.8083,0.0473,519640.0,0.8417,0.0242,0.0
2025-08-11,021093,293981.68,978144.92,0.9333,0.012,0.0,0.7667,0.0489,521624.91,0.925,0.0083,0.0
2025-08-18,021400,292842.46,1009105.66,0.8417,0.0203,600539.28,0.975,0.0059,0.0,0.9917,0.0,0.0
2025-08-25,021400,314918.54,1021136.63,0.975,0.0039,582399.88,0.9917,0.0,0.0,0.9833,0.0066,0.0
2025-09-01,021400,302759.14,1007769.49,0.75,0.0229,592694.7,0.975,0.0049,0.0,0.925,0.0274,0.0
2025-09-08,021400,305457.02,1011112.26,0.8167,0.0184,590506.48,0.9667,0.0139,0.0,0.9917,0.0,0.0
2025-09-15,021400,302205.12,1005290.89,0.6583,0.0266,593321.33,0.9917,0.0,0.0,0.9417,0.0233,0.0
2025-09-22,021400,300114.44,995939.89,0.5167,0.0397,595180.44,0.9667,0.014,0.0,0.8667,0.0336,0.0
