基金代码,基金名称,波动档位,档距,当前净值,条件单类型,触发净值,较现价幅度,资金比例,累计投入,说明
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,买入第1档,0.7296,-10.4%,15%,15%,净值≤0.7296 买入（跌10%）
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,买入第2档,0.6446,-20.9%,20%,35%,净值≤0.6446 买入（跌21%）
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,买入第3档,0.5595,-31.3%,30%,65%,净值≤0.5595 买入（跌31%）
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,买入第4档,0.4744,-41.8%,35%,100%,净值≤0.4744 买入（跌42%）
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,止盈第1档,0.6798,-16.6%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.5722，成本×(1+19%)卖出33%持仓
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,止盈第2档,0.8089,-0.7%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.5722，成本×(1+41%)卖出33%持仓
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,止盈第3档,0.9487,+16.4%,卖出100%持仓,-,买入档成交后挂出：综合成本约0.5722，成本×(1+66%)卖出100%持仓
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,⛔ 终止线,0.4249,-47.8%,-,-,跌破则暂停一切加仓，转基本面复检（疑基本面恶化）
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,🛑 硬止损,0.4229,-48.1%,清仓,-,相对综合成本-26% 无条件清仓
021093,广发中证港股通互联网ETF发起式联接C,中波动,0.10441943437745774,0.8147,📉 移动止盈,峰值×0.87,-,清仓,-,首档止盈激活后，自最高点回撤13% 离场
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,买入第1档,0.8466,-11.8%,15%,15%,净值≤0.8466 买入（跌12%）
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,买入第2档,0.7335,-23.6%,20%,35%,净值≤0.7335 买入（跌24%）
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,买入第3档,0.6203,-35.4%,30%,65%,净值≤0.6203 买入（跌35%）
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,买入第4档,0.5071,-47.2%,35%,100%,净值≤0.5071 买入（跌47%）
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,止盈第1档,0.7725,-19.5%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.6373，成本×(1+21%)卖出33%持仓
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,止盈第2档,0.9348,-2.6%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.6373，成本×(1+47%)卖出33%持仓
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,止盈第3档,1.1106,+15.7%,卖出100%持仓,-,买入档成交后挂出：综合成本约0.6373，成本×(1+74%)卖出100%持仓
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,⛔ 终止线,0.4473,-53.4%,-,-,跌破则暂停一切加仓，转基本面复检（疑基本面恶化）
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,🛑 硬止损,0.4494,-53.2%,清仓,-,相对综合成本-29% 无条件清仓
017963,广发医药创新混合发起式C,中波动,0.1179086634756284,0.9598,📉 移动止盈,峰值×0.86,-,清仓,-,首档止盈激活后，自最高点回撤14% 离场
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,买入第1档,0.9035,-8.2%,15%,15%,净值≤0.9035 买入（跌8%）
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,买入第2档,0.8231,-16.4%,20%,35%,净值≤0.8231 买入（跌16%）
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,买入第3档,0.7426,-24.5%,30%,65%,净值≤0.7426 买入（跌25%）
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,买入第4档,0.6621,-32.7%,35%,100%,净值≤0.6621 买入（跌33%）
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,止盈第1档,0.8657,-12.0%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.7547，成本×(1+15%)卖出33%持仓
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,止盈第2档,0.9991,+1.5%,卖出33%持仓,-,买入档成交后挂出：综合成本约0.7547，成本×(1+32%)卖出33%持仓
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,止盈第3档,1.1435,+16.2%,卖出100%持仓,-,买入档成交后挂出：综合成本约0.7547，成本×(1+52%)卖出100%持仓
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,⛔ 终止线,0.608,-38.2%,-,-,跌破则暂停一切加仓，转基本面复检（疑基本面恶化）
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,🛑 硬止损,0.6004,-39.0%,清仓,-,相对综合成本-20% 无条件清仓
013711,广发成长新动能混合C,中波动,0.08177766342306318,0.984,📉 移动止盈,峰值×0.90,-,清仓,-,首档止盈激活后，自最高点回撤10% 离场
