基金代码,基金简称,行业,条件单类型,触发净值,较现价幅度,资金比例,累计投入,计划金额,说明,有效期交易日,年化波动,档距
015151,恒越匠心优选一年持有混合C,主动混合,买入第1档,0.5375,-18.4%,25%,25%,25000.0,净值≤0.5375买入（跌18%）,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,买入第2档,0.4161,-36.9%,35%,60%,35000.0,净值≤0.4161买入（跌37%）,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,买入第3档,0.2946,-55.3%,40%,100%,40000.0,净值≤0.2946买入（跌55%）,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,止盈第1档,0.4552,-30.9%,卖出33%持仓,-,-,成本约0.3979，涨14%卖33%,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,止盈第2档,0.5125,-22.2%,卖出33%持仓,-,-,成本约0.3979，涨29%卖33%,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,止盈第3档,0.5984,-9.2%,卖出100%持仓,-,-,成本约0.3979，涨50%卖100%,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,⛔ 终止线,0.2403,-63.5%,-,-,-,跌破暂停加仓，转基本面复检,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,🛑 硬止损,0.2586,-60.8%,清仓,-,-,相对成本-35%清仓,180,0.3686,0.1843
015151,恒越匠心优选一年持有混合C,主动混合,📉 移动止盈,峰值×0.82,-,清仓,-,-,首档止盈后，峰值回撤18%离场,180,0.3686,0.1843
018439,财通资管品质消费混合发起式C,消费,买入第1档,0.8159,-10.3%,25%,25%,25000.0,净值≤0.8159买入（跌10%）,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,买入第2档,0.7224,-20.6%,35%,60%,35000.0,净值≤0.7224买入（跌21%）,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,买入第3档,0.629,-30.8%,40%,100%,40000.0,净值≤0.6290买入（跌31%）,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,止盈第1档,0.7916,-12.9%,卖出33%持仓,-,-,成本约0.7084，涨12%卖33%,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,止盈第2档,0.8748,-3.8%,卖出33%持仓,-,-,成本约0.7084，涨23%卖33%,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,止盈第3档,0.9996,+9.9%,卖出100%持仓,-,-,成本约0.7084，涨41%卖100%,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,⛔ 终止线,0.5644,-37.9%,-,-,-,跌破暂停加仓，转基本面复检,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,🛑 硬止损,0.5264,-42.1%,清仓,-,-,相对成本-26%清仓,180,0.2055,0.1028
018439,财通资管品质消费混合发起式C,消费,📉 移动止盈,峰值×0.88,-,清仓,-,-,首档止盈后，峰值回撤12%离场,180,0.2055,0.1028
008841,德邦大消费混合C,消费,买入第1档,0.5305,-11.2%,25%,25%,25000.0,净值≤0.5305买入（跌11%）,180,0.2244,0.1122
008841,德邦大消费混合C,消费,买入第2档,0.4634,-22.4%,35%,60%,35000.0,净值≤0.4634买入（跌22%）,180,0.2244,0.1122
008841,德邦大消费混合C,消费,买入第3档,0.3964,-33.7%,40%,100%,40000.0,净值≤0.3964买入（跌34%）,180,0.2244,0.1122
008841,德邦大消费混合C,消费,止盈第1档,0.5115,-14.4%,卖出33%持仓,-,-,成本约0.4533，涨13%卖33%,180,0.2244,0.1122
008841,德邦大消费混合C,消费,止盈第2档,0.5696,-4.7%,卖出33%持仓,-,-,成本约0.4533，涨26%卖33%,180,0.2244,0.1122
008841,德邦大消费混合C,消费,止盈第3档,0.6568,+9.9%,卖出100%持仓,-,-,成本约0.4533，涨45%卖100%,180,0.2244,0.1122
008841,德邦大消费混合C,消费,⛔ 终止线,0.3519,-41.1%,-,-,-,跌破暂停加仓，转基本面复检,180,0.2244,0.1122
008841,德邦大消费混合C,消费,🛑 硬止损,0.3262,-45.4%,清仓,-,-,相对成本-28%清仓,180,0.2244,0.1122
008841,德邦大消费混合C,消费,📉 移动止盈,峰值×0.87,-,清仓,-,-,首档止盈后，峰值回撤13%离场,180,0.2244,0.1122
011130,广发兴诚混合C,主动混合,买入第1档,0.2689,-14.9%,25%,25%,25000.0,净值≤0.2689买入（跌15%）,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,买入第2档,0.2218,-29.8%,35%,60%,35000.0,净值≤0.2218买入（跌30%）,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,买入第3档,0.1746,-44.8%,40%,100%,40000.0,净值≤0.1746买入（跌45%）,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,止盈第1档,0.2456,-22.3%,卖出33%持仓,-,-,成本约0.2147，涨14%卖33%,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,止盈第2档,0.2766,-12.5%,卖出33%持仓,-,-,成本约0.2147，涨29%卖33%,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,止盈第3档,0.3229,+2.2%,卖出100%持仓,-,-,成本约0.2147，涨50%卖100%,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,⛔ 终止线,0.1486,-53.0%,-,-,-,跌破暂停加仓，转基本面复检,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,🛑 硬止损,0.1396,-55.8%,清仓,-,-,相对成本-35%清仓,180,0.2984,0.1492
011130,广发兴诚混合C,主动混合,📉 移动止盈,峰值×0.82,-,清仓,-,-,首档止盈后，峰值回撤18%离场,180,0.2984,0.1492
011003,同泰大健康主题混合C,主动混合,买入第1档,0.2344,-19.2%,25%,25%,25000.0,净值≤0.2344买入（跌19%）,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,买入第2档,0.1787,-38.4%,35%,60%,35000.0,净值≤0.1787买入（跌38%）,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,买入第3档,0.1229,-57.6%,40%,100%,40000.0,净值≤0.1229买入（跌58%）,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,止盈第1档,0.1948,-32.8%,卖出33%持仓,-,-,成本约0.1703，涨14%卖33%,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,止盈第2档,0.2194,-24.4%,卖出33%持仓,-,-,成本约0.1703，涨29%卖33%,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,止盈第3档,0.2561,-11.7%,卖出100%持仓,-,-,成本约0.1703，涨50%卖100%,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,⛔ 终止线,0.0993,-65.8%,-,-,-,跌破暂停加仓，转基本面复检,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,🛑 硬止损,0.1107,-61.8%,清仓,-,-,相对成本-35%清仓,180,0.3841,0.1921
011003,同泰大健康主题混合C,主动混合,📉 移动止盈,峰值×0.82,-,清仓,-,-,首档止盈后，峰值回撤18%离场,180,0.3841,0.1921
019412,长城新兴产业混合C,主动混合,买入第1档,1.1868,-20.0%,25%,25%,25000.0,净值≤1.1868买入（跌20%）,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,买入第2档,0.8901,-40.0%,35%,60%,35000.0,净值≤0.8901买入（跌40%）,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,买入第3档,0.5934,-60.0%,40%,100%,40000.0,净值≤0.5934买入（跌60%）,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,止盈第1档,0.9674,-34.8%,卖出33%持仓,-,-,成本约0.8456，涨14%卖33%,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,止盈第2档,1.0891,-26.6%,卖出33%持仓,-,-,成本约0.8456，涨29%卖33%,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,止盈第3档,1.2718,-14.3%,卖出100%持仓,-,-,成本约0.8456，涨50%卖100%,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,⛔ 终止线,0.4747,-68.0%,-,-,-,跌破暂停加仓，转基本面复检,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,🛑 硬止损,0.5496,-62.9%,清仓,-,-,相对成本-35%清仓,180,0.4624,0.2
019412,长城新兴产业混合C,主动混合,📉 移动止盈,峰值×0.82,-,清仓,-,-,首档止盈后，峰值回撤18%离场,180,0.4624,0.2
