date,017963,013711,total_value,nav
2023-09-06,60000.0,60000.0,120000.0,1.0
2023-09-07,60000.0,60000.0,120000.0,1.0
2023-09-08,60000.0,60000.0,120000.0,1.0
2023-09-11,60000.0,60000.0,120000.0,1.0
2023-09-12,60000.0,60000.0,120000.0,1.0
2023-09-13,60000.0,60000.0,120000.0,1.0
2023-09-14,60000.0,60000.0,120000.0,1.0
2023-09-15,60000.0,60000.0,120000.0,1.0
2023-09-18,60000.0,60000.0,120000.0,1.0
2023-09-19,60000.0,60000.0,120000.0,1.0
2023-09-20,60000.0,60000.0,120000.0,1.0
2023-09-21,60000.0,60000.0,120000.0,1.0
2023-09-22,60000.0,60000.0,120000.0,1.0
2023-09-25,60000.0,60000.0,120000.0,1.0
2023-09-26,60000.0,60000.0,120000.0,1.0
2023-09-27,60000.0,60000.0,120000.0,1.0
2023-09-28,60000.0,60000.0,120000.0,1.0
2023-10-09,60000.0,60000.0,120000.0,1.0
2023-10-10,60000.0,60000.0,120000.0,1.0
2023-10-11,60000.0,60000.0,120000.0,1.0
2023-10-12,60000.0,60000.0,120000.0,1.0
2023-10-13,60000.0,60000.0,120000.0,1.0
2023-10-16,60000.0,60000.0,120000.0,1.0
2023-10-17,60000.0,60000.0,120000.0,1.0
2023-10-18,60000.0,60000.0,120000.0,1.0
2023-10-19,60000.0,60000.0,120000.0,1.0
2023-10-20,60000.0,60000.0,120000.0,1.0
2023-10-23,60000.0,60000.0,120000.0,1.0
2023-10-24,60000.0,60000.0,120000.0,1.0
2023-10-25,60000.0,60000.0,120000.0,1.0
2023-10-26,60000.0,60000.0,120000.0,1.0
2023-10-27,60000.0,60000.0,120000.0,1.0
2023-10-30,60000.0,60000.0,120000.0,1.0
2023-10-31,60000.0,60000.0,120000.0,1.0
2023-11-01,60000.0,60000.0,120000.0,1.0
2023-11-02,60000.0,60000.0,120000.0,1.0
2023-11-03,60000.0,60000.0,120000.0,1.0
2023-11-06,60000.0,60000.0,120000.0,1.0
2023-11-07,60000.0,60000.0,120000.0,1.0
2023-11-08,60000.0,60000.0,120000.0,1.0
2023-11-09,60000.0,60000.0,120000.0,1.0
2023-11-10,60000.0,60000.0,120000.0,1.0
2023-11-13,60000.0,60000.0,120000.0,1.0
2023-11-14,60000.0,60000.0,120000.0,1.0
2023-11-15,60000.0,60000.0,120000.0,1.0
2023-11-16,60000.0,60000.0,120000.0,1.0
2023-11-17,60000.0,60000.0,120000.0,1.0
2023-11-20,60000.0,60000.0,120000.0,1.0
2023-11-21,60000.0,60000.0,120000.0,1.0
2023-11-22,60000.0,60000.0,120000.0,1.0
2023-11-23,60000.0,60000.0,120000.0,1.0
2023-11-24,60000.0,60000.0,120000.0,1.0
2023-11-27,60000.0,60000.0,120000.0,1.0
2023-11-28,60000.0,60000.0,120000.0,1.0
2023-11-29,60000.0,60000.0,120000.0,1.0
